Cache Configuration	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
MSizeL1_32768_AssL1_1_MSizeLL_8388608_AssLL_2_Word_32.txt	128158186947	52359266924	20119603909	244574903	616561386	629280969	26943	540637	1826271	127913585101	51742164901	19488496669	0.742842461154 %	0.190838298221 %	1.71890420019 %	0.00119312505202 %	2.10232374863e-05 %	0.0032656524209 %
MSizeL1_8192_AssL1_2_MSizeLL_8388608_AssLL_4_Word_32.txt	128158187111	52359266965	20119603941	244574905	1019947563	1263792652	23355	420989	1657953	127913588851	51338898413	18854153336	1.26014363697 %	0.190838299537 %	3.15090478984 %	0.00104781091827 %	1.82235723885e-05 %	0.00286834214442 %
MSizeL1_8192_AssL1_4_MSizeLL_16777216_AssLL_1_Word_32.txt	128158187140	52359266975	20119603942	244574907	892879760	1201237270	289317	793421	1713895	127913322916	51465593794	18916652777	1.16563308875 %	0.190838301054 %	2.88927932169 %	0.00139387659841 %	0.000225749916144 %	0.0034593750817 %
MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187048	52359266950	20119603927	244574903	725081404	605885586	16418	237415	1284850	127913595727	51633948131	19512433491	0.785269635278 %	0.19083829807 %	1.83635171726 %	0.00076689870551 %	1.2810730534e-05 %	0.00210028796197 %
MSizeL1_16384_AssL1_1_MSizeLL_16777216_AssLL_1_Word_32.txt	128158187204	52359267005	20119603954	244574914	1015351171	917925982	275615	888935	1825991	127913336675	51343026899	19199851981	1.08546850065 %	0.190838306421 %	2.66736654065 %	0.00149052275157 %	0.000215058441457 %	0.00374581717965 %
MSizeL1_32768_AssL1_2_MSizeLL_8388608_AssLL_4_Word_32.txt	128158187145	52359266987	20119603950	244574912	281305166	467729781	25106	423352	1650319	127913587127	52077538469	19650223850	0.495227486138 %	0.190838304948 %	1.03345283573 %	0.00104605650624 %	1.95898526339e-05 %	0.00286106967892 %
MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_1_Word_32.txt	128158187351	52359267057	20119603994	244574921	441183063	743997936	333860	1564336	2796438	127913278570	51916519658	19372809620	0.712608095128 %	0.190838311664 %	1.63520896754 %	0.00233986385037 %	0.000260506181385 %	0.00601661413425 %
MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_4_Word_32.txt	128158187014	52359266944	20119603917	244574907	648990398	657599388	17044	234558	1246624	127913595063	51710041988	19460757905	0.773119736418 %	0.190838301242 %	1.80271818597 %	0.000746734434739 %	1.32991893824e-05 %	0.00204360523613 %
MSizeL1_8192_AssL1_4_MSizeLL_16777216_AssLL_2_Word_32.txt	128158186970	52359266929	20119603919	244574907	892879760	1201237270	16419	239616	1339350	127913595644	51466147553	18917027299	1.16563309014 %	0.190838301307 %	2.88927932444 %	0.000795159686526 %	1.28115108275e-05 %	0.00217851903807 %
MSizeL1_16384_AssL1_4_MSizeLL_16777216_AssLL_4_Word_32.txt	128158187350	52359267059	20119603997	244574914	441183063	743997936	17042	234166	1251052	127913595394	51917849830	19374355009	0.712608091625 %	0.190838306204 %	1.63520896743 %	0.000748745028428 %	1.32976287761e-05 %	0.00204917375003 %
MSizeL1_32768_AssL1_1_MSizeLL_8388608_AssLL_4_Word_32.txt	128158187035	52359266944	20119603934	244574900	566248413	576605550	23192	432245	1663738	127913588943	51792586286	19541334646	0.691511766287 %	0.190838295749 %	1.5768098332 %	0.00105622312351 %	1.80963858311e-05 %	0.00289185382527 %
MSizeL1_16384_AssL1_1_MSizeLL_8388608_AssLL_1_Word_32.txt	128158186974	52359266928	20119603910	244574904	983239129	925239881	334567	1524645	2420732	127913277503	51374503154	19191943297	1.07310879529 %	0.190838298961 %	2.63315223862 %	0.00213317721396 %	0.000261057844137 %	0.00544348574196 %
MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_1_Word_32.txt	128158186973	52359266930	20119603913	244574904	195899723	432256448	321137	1373766	2420985	127913290932	52161993441	19684926480	0.434980000455 %	0.190838298962 %	0.866674885651 %	0.00205140966719 %	0.000250578607255 %	0.00523566517505 %
MSizeL1_32768_AssL1_4_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187271	52359267040	20119603986	244574915	189740643	426970311	16476	241296	1292301	127913595880	52169285101	19691341374	0.429275566693 %	0.190838307102 %	0.850883775188 %	0.000772575621451 %	1.28559870819e-05 %	0.00211592285902 %
MSizeL1_16384_AssL1_1_MSizeLL_8388608_AssLL_4_Word_32.txt	128158186931	52359266921	20119603907	244574908	983239129	925239881	23236	420796	1659473	127913588787	51375606996	19192704553	1.07310879757 %	0.190838302146 %	2.63315223899 %	0.00104841300181 %	1.81307184164e-05 %	0.00287017302592 %
