../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
InvTransf	10078476608	5296380432	970614888	35997144	73789035	58973482	3938	1240	2422	288425095432	108912407667	-6201601813	1.03245511505 %	0.357168502742 %	2.1184397023 %	4.64960573392e-05 %	3.90733654814e-05 %	5.84331057072e-05 %
Transf	60750842672	26107407248	11292833048	427000208	1316669780	634371180	27008	7852	1081637	1872398959990	-29071694776746	-13644072056600	2.42283742175 %	0.702871251195 %	5.21665354169 %	0.00113752896681 %	4.44569964993e-05 %	0.00291305347607 %
Misc	15367088120	5208782888	2849810728	59673408	220467992	94350593	11242	49238	63789	1554879249976	-3847423840869	-1587310902920	1.59863861048 %	0.388319553672 %	3.90661944257 %	0.000530481893336 %	7.31563449901e-05 %	0.00140256483185 %
Inter/Intra	387834379368	133609289752	66555417720	108443456	1653546288	301116123	10176	344831	26157	40601321817607	1261909668209	4643033269551	0.350868889625 %	0.0279612798063 %	0.976526999033 %	6.48239101949e-05 %	2.62380040072e-06 %	0.000185341364462 %
Inter	322313713952	164744361200	22836962456	353041680	2838375438	1565694737	29484	1641707	558880	56546628157079	-51729731641103	-36781135052439	0.932959041397 %	0.109533558368 %	2.34781911608 %	0.000437358835744 %	9.14760952567e-06 %	0.00117313757954 %
Intra	10106540800	3502424192	1787527280	81867056	147788636	89484956	5287	12762	324128	392100842544	-88684229727	-74277174492	2.0728140044 %	0.810040325568 %	4.48536424683 %	0.0022224347855 %	5.23126567698e-05 %	0.00636848942345 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	12654471603	4923330891	3168083130	92218605	387729566	150795905	9175	15778	22990	424899424474	-7805332809462	-2742445646617	3.04033333371 %	0.728743229217 %	6.65551743617 %	0.000231096424944 %	7.25040150853e-05 %	0.000479125155373 %
InvQuant	1036884171	392889933	57367695	3579069	5081633	6018281	108	0	3	2061837752	768834059	94724903	0.987060077921 %	0.345175391823 %	2.4652361914 %	7.46398225607e-06 %	1.04158210744e-05 %	6.6628521394e-07 %
Quant	31984816230	12055444371	7169876451	73244913	697212165	778576559	6146	3498	66976	252448571164	67298917783	25047377926	3.02485743287 %	0.22899901151 %	7.67627618631 %	0.000149618814576 %	1.92153675538e-05 %	0.000366568655226 %
InvTransf	3779428728	1986142662	363980583	13498929	33814793	22681296	1701	510	1049	48254057802	22523338747	2415829003	1.1419271475 %	0.357168502742 %	2.40396281855 %	5.31849638336e-05 %	4.50068018851e-05 %	6.63369465119e-05 %
Transf	22781566002	9790277718	4234812393	160125078	539261028	251139933	12313	3395	504955	1286868612906	-1408689535658	-680050094313	2.58248409223 %	0.702871251195 %	5.63562126692 %	0.00141458924821 %	5.40480843104e-05 %	0.00362457564249 %
Misc	5762658045	1953293583	1068679023	22377528	86639374	38241169	5135	24583	27604	373865902146	-165021764810	-60809974108	1.67631488278 %	0.388319553672 %	4.13241810174 %	0.000652526011364 %	8.91081851448e-05 %	0.0017269183677 %
Inter/Intra	145437892263	50103483657	24958281645	40666296	687816552	131686790	4655	211603	13601	6716370429233	1456600579763	1000541263920	0.390100214893 %	0.0279612798063 %	1.09177200763 %	0.000104244606336 %	3.20067894795e-06 %	0.000300024918271 %
Inter	120867642732	61779135450	8563860921	132390630	1317561224	617617538	13754	797828	264832	10183005261107	-831200758880	-2079707287898	1.08130457683 %	0.109533558368 %	2.75106103214 %	0.000562946708954 %	1.13793896275e-05 %	0.00151068344373 %
Intra	3789952800	1313409072	670322730	30700146	58437681	34716196	2279	8464	127674	77895909071	12665982606	3985056901	2.14514701681 %	0.810040325568 %	4.69589068976 %	0.00239737723034 %	6.01326750032e-05 %	0.00686272206065 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_1_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	80144986819	31181095643	20064526490	584051165	2044856899	924918583	49249	94496	133859	-308370430222967	-1473293226878427	-626200132654137	2.70477979769 %	0.728743229217 %	5.7951789019 %	0.000211281462362 %	6.14498822131e-05 %	0.000445608796411 %
InvQuant	6566933083	2488302909	363328735	22667437	20916936	33996452	612	0	5	64082566824	23032884457	1096726859	0.823701139703 %	0.345175391823 %	1.92568307746 %	6.55089196586e-06 %	9.31941885603e-06 %	1.75338214195e-07 %
Quant	202570502790	76351147683	45409217523	463884449	2621380205	3678189276	27001	34494	324322	7608909876500	-777464839627	-2911325257194	2.08535622027 %	0.22899901151 %	5.17374391112 %	0.000118957841535 %	1.33291864453e-05 %	0.000294690311903 %
InvTransf	23936381944	12578903526	2305210359	85493217	104397865	128206161	8714	2859	4984	1396796496943	360055061785	-268084573760	0.81940540997 %	0.357168502742 %	1.56276704006 %	4.26501507681e-05 %	3.64048335308e-05 %	5.26937650477e-05 %
Transf	144283251346	62005092214	26820478489	1014125494	2476668900	1317914538	58281	28360	2353894	-61294649889479	-346045611472035	-170851225868674	2.06286012247 %	0.702871251195 %	4.27194940372 %	0.00104695093843 %	4.03934617887e-05 %	0.00268194617963 %
Misc	36496834285	12370859359	6768300479	141724344	468760443	199175870	24219	100728	133626	-381544293111	-50548302239880	-21002576509616	1.45528208808 %	0.388319553672 %	3.48989359331 %	0.000464758478888 %	6.63591801165e-05 %	0.00122447381172 %
Inter/Intra	921106650999	317322063161	158069117085	257553208	3143291949	511998066	21799	744655	60965	210636661362036	-64448808412011	12787635620844	0.280189709963 %	0.0279612798063 %	0.768901520871 %	5.92495728592e-05 %	2.36660977058e-06 %	0.000169464650056 %
Inter	765495070636	391267857850	54237785833	838473990	4729048189	3416628222	64437	3419665	1205614	238062451935716	-655219550754444	-454373435727384	0.741878208227 %	0.109533558368 %	1.82841149748 %	0.000387259556873 %	8.41768973724e-06 %	0.00103820884552 %
Intra	24003034400	8318257456	4245377290	194434258	294679355	193237734	11974	30131	750006	1073278258828	-2144916789062	-1451392249783	1.86604731286 %	0.810040325568 %	3.88356633143 %	0.00216621042742 %	4.98853594944e-05 %	0.00620948488055 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	54836043613	21334433861	13728360230	399613955	1464033949	657106744	32825	57821	97921	-89599454344275	-501120152209298	-204932249763307	2.80399025436 %	0.728743229217 %	6.04954838309 %	0.000209754658476 %	5.98602631358e-05 %	0.000444180231603 %
InvQuant	4493164741	1702523043	248593345	15509299	15822038	24056106	420	0	5	30909312734	11221496004	850342135	0.859482103454 %	0.345175391823 %	2.0438629005 %	6.5949947169e-06 %	9.34753173342e-06 %	2.56263543823e-07 %
Quant	138600870330	52240258941	31069464621	317394623	2152696012	2878297072	19648	14930	239787	3714824789584	39149776835	-801048011718	2.41015429376 %	0.22899901151 %	6.03890262612 %	0.000123637630447 %	1.4175957159e-05 %	0.000305747023408 %
InvTransf	16377524488	8606618202	1577249193	58495359	89624082	91241724	6044	1970	4151	704392684808	220381319157	-68056671391	0.901161979968 %	0.357168502742 %	1.77600315268 %	4.57995576948e-05 %	3.69042342414e-05 %	6.01048674593e-05 %
Transf	98720119342	42424536778	18350853703	693875338	1879624856	960168605	41380	13707	1664024	-10686239119727	-118728749841655	-56910070672629	2.21552870229 %	0.702871251195 %	4.67260422109 %	0.00107784288217 %	4.1916480932e-05 %	0.00276054334941 %
Misc	24971518195	8464272193	4630942433	96969288	338259123	142129217	17107	71872	97005	2074681228488	-16528690537187	-6869535235333	1.51669866367 %	0.388319553672 %	3.66842662545 %	0.000488573581753 %	6.85060470349e-05 %	0.00128960849305 %
Inter/Intra	630230866473	217115095847	108152553795	176220616	2356084821	398238771	15462	579369	50779	102004099463060	-13444589873011	8885275018822	0.306703166836 %	0.0279612798063 %	0.84678682157 %	6.75678705002e-05 %	2.45338665917e-06 %	0.000193732146647 %
Inter	523759785172	267709586950	37110063991	573692730	3700039873	2418111312	44833	2562611	867636	129968478222960	-224504845147904	-151161924617343	0.807628529425 %	0.109533558368 %	2.00713804576 %	0.000419402153679 %	8.55984007731e-06 %	0.0011253365685 %
Intra	16423128800	5691439312	2904731830	133033966	219518078	138044360	8226	20770	520993	777128736670	-609076798162	-424707755781	1.9608718275 %	0.810040325568 %	4.15955466793 %	0.00219825894919 %	5.00878979893e-05 %	0.00630237568623 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_2_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	194035231246	75491073662	48577274660	1414018610	3326127068	1744070066	107205	256550	988236	-4864313470023411	-17366854746645552	-7952727433604092	2.03839760395 %	0.728743229217 %	4.08661612939 %	0.000425015965503 %	5.52502755874e-05 %	0.00100330665866 %
InvQuant	15898890622	6024312306	879637990	54879058	34076793	67409009	1476	5950	5	352988845761	122850467772	-9586928867	0.685725346953 %	0.345175391823 %	1.46996715864 %	3.25880447385e-05 %	9.28366660978e-06 %	8.62549662829e-05 %
Quant	490433848860	184850147022	109938105582	1123088666	4514795409	6333673067	57799	165097	1881793	39498608547664	-21076776652363	-41092777476585	1.52460776635 %	0.22899901151 %	3.68008846356 %	0.0002680374121 %	1.17852795304e-05 %	0.000694359419658 %
InvTransf	57951240496	30454187484	5581035606	206983578	157975695	274218654	20678	7343	127011	5877084255975	342559197180	-4529403478640	0.680074451801 %	0.357168502742 %	1.19936637528 %	0.000164951413304 %	3.56817210866e-05 %	0.000372840761009 %
Transf	349317345364	150117591676	64933790026	2455251196	4020443310	2504088829	134827	167668	10616007	-1351941508337678	-3899885650044753	-2115828243930093	1.59111993708 %	0.702871251195 %	3.03394104579 %	0.00193463979777 %	3.85972817524e-05 %	0.00501446441062 %
Misc	88360756690	29950501606	16386411686	343122096	808629421	398548262	60076	228394	312899	-123784284042081	-626058533553381	-273268278552081	1.15094773295 %	0.388319553672 %	2.60521816676 %	0.000446458353794 %	6.79894585e-05 %	0.00116816801454 %
Inter/Intra	2230047681366	768253416074	382693651890	623549872	5337754241	896647342	51115	2338516	220277	1127234048386107	-1116555227246057	-47272168206413	0.202838275817 %	0.0279612798063 %	0.541675786535 %	7.71934946222e-05 %	2.29210345712e-06 %	0.000222320649769 %
Inter	1853303855224	947280076900	131312534122	2029989660	8700563771	6966828927	147184	7584694	3300686	490003943352801	-7641674191234376	-5834606548681623	0.60361552878 %	0.109533558368 %	1.45257741782 %	0.000376294460838 %	7.94170905031e-06 %	0.00100922070935 %
Intra	58112609600	20138939104	10278281860	470735572	489920098	351201164	29385	50472	1807862	-8149572987348	-29898735521300	-20586100175645	1.48182462978 %	0.810040325568 %	2.76527978343 %	0.00213229708899 %	5.056561769e-05 %	0.00610947989693 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_4_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	219344174452	85337735444	54913440920	1598455820	3425668091	1844754155	120443	278056	1031248	-7082036410751352	-24066356390532147	-11186499916767471	1.91016876342 %	0.728743229217 %	3.75784530486 %	0.000397598855701 %	5.49105077903e-05 %	0.000933542258927 %
InvQuant	17972658964	6810092172	994373380	62037196	34510082	71310916	1668	5950	9	446682920530	154853741993	-16110920299	0.651190530952 %	0.345175391823 %	1.35590319792 %	2.9588249827e-05 %	9.28076364961e-06 %	7.63537228821e-05 %
Quant	554403481320	208961035764	124277858484	1269578492	4691107856	6658706345	65045	173638	1976860	49274944761418	-30648124367326	-57923551477239	1.42167533236 %	0.22899901151 %	3.40590921315 %	0.000249598606486 %	1.17324299344e-05 %	0.000645332233758 %
InvTransf	65510097952	34426472808	6308996772	233981436	161586992	298070497	23348	8232	127755	6892130401277	81417566298	-6566762258306	0.652863871042 %	0.357168502742 %	1.1283961956 %	0.000149968609234 %	3.56403069602e-05 %	0.000333829464597 %
Transf	394880477368	169698147112	73403414812	2775501352	4113799443	2660232923	153807	175415	11376823	-2007952209592801	-5387577287984308	-2976623436152991	1.49683425706 %	0.702871251195 %	2.78650302054 %	0.0018348549456 %	3.89502669327e-05 %	0.00475202129866 %
Misc	99886072780	33857088772	18523769732	387877152	848730665	432482501	70621	255784	350087	-192314207313412	-874701396326654	-387070646572559	1.0961607382 %	0.388319553672 %	2.44595679145 %	0.00044428031372 %	7.07015483085e-05 %	0.00115666489115 %
Inter/Intra	2520923465892	868460383388	432610215180	704882464	5539120303	926819616	62614	2547609	237149	1415928455905497	-1590891852535806	-87880603288614	0.187619924627 %	0.0279612798063 %	0.496970719815 %	7.44996447398e-05 %	2.48377234958e-06 %	0.000214035887297 %
Inter	2095039140688	1070838347800	148440255964	2294770920	8989616750	7484733650	167809	8460842	3634997	378864566930511	-10679554753214619	-8263448874399031	0.566304222081 %	0.109533558368 %	1.35115553977 %	0.000370020286091 %	8.00982648682e-06 %	0.000992048819905 %
Intra	65692515200	22765757248	11618927320	532135864	502636643	369118957	33463	52612	2038666	-14441420392302	-41990669066889	-29146429061292	1.40280849909 %	0.810040325568 %	2.53530201295 %	0.0021231019702 %	5.09388320696e-05 %	0.00608200431755 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_1_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	160289973638	62362191286	40129052980	1168102330	3067773824	1548318295	90300	226515	940387	-2702565972648404	-10355410112624643	-4646332298237213	2.20114454722 %	0.728743229217 %	4.50388923665 %	0.000478421559207 %	5.6335401367e-05 %	0.00113853823159 %
InvQuant	13133866166	4976605818	726657470	45334874	30713820	59468644	1224	5950	5	244323003677	85606992171	-3596565495	0.719416078394 %	0.345175391823 %	1.58124321894 %	3.81109022876e-05 %	9.31941885603e-06 %	0.000104413906553 %
Quant	405141005580	152702295366	90818435046	927768898	4157032445	5814562625	49657	156675	1757579	27846407067392	-11454785355267	-23788445215178	1.68028470977 %	0.22899901151 %	4.09476230345 %	0.000302763503846 %	1.2256720331e-05 %	0.000786074350533 %
InvTransf	47872763888	25157807052	4610420718	170986434	144369836	239524301	17288	6185	125846	4456472684872	518247944131	-2514044286607	0.714674760266 %	0.357168502742 %	1.28961031865 %	0.000192319800161 %	3.61123916732e-05 %	0.000443529930704 %
Transf	288566502692	124010184428	53640956978	2028250988	3652764367	2242226817	114478	160705	9689317	-722752291874095	-2342356003607260	-1236196376518923	1.69947282612 %	0.702871251195 %	3.31829626162 %	0.00213730649754 %	3.96712712432e-05 %	0.00554458694835 %
Misc	72993668570	24741718718	13536600958	283448688	734972488	348704594	51571	199867	263262	-60111403919404	-368911278432040	-158102222367567	1.22863426056 %	0.388319553672 %	2.83104663729 %	0.000462560261673 %	7.06513332051e-05 %	0.00120989898177 %
Inter/Intra	1842213301998	634644126322	316138234170	515106416	4855403642	823301293	43481	2073004	205956	787622990319150	-633188913473091	-10731328320794	0.221762297528 %	0.0279612798063 %	0.597266542899 %	8.31523310684e-05 %	2.3602587145e-06 %	0.000239693130068 %
Inter	1530990141272	782535715700	108475571666	1676947980	7617184093	6118809030	126050	6563368	2891835	511957119346154	-4521569891666252	-3376260246247801	0.636372089659 %	0.109533558368 %	1.54161830695 %	0.00039559237607 %	8.23323394462e-06 %	0.00106117656803 %
Intra	48006068800	16636514912	8490754580	388868516	445726037	315911955	24680	47592	1499742	-2682813288844	-17418732236201	-11859777429016	1.57316284867 %	0.810040325568 %	3.0311211978 %	0.00214951763001 %	5.14101667079e-05 %	0.00615798704468 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	172944445241	67285522177	43297136110	1260320935	3185680582	1627602775	94731	233799	957347	-3415514626611677	-12734857712022699	-5757801351509422	2.14216003212 %	0.728743229217 %	4.35265658428 %	0.000453528775203 %	5.47753932588e-05 %	0.00107715442769 %
InvQuant	14170750337	5369495751	784025165	48913943	32716708	62834359	1308	5950	5	282862261654	98841491674	-5503793579	0.710800442494 %	0.345175391823 %	1.55278690532 %	3.57355986327e-05 %	9.23028046429e-06 %	9.677386461e-05 %
Quant	437125821810	164757739737	97988311497	1001013811	4328397560	6030703560	50990	158363	1790935	32020027862870	-14657977069454	-29615810843148	1.62317066431 %	0.22899901151 %	3.94262866039 %	0.000285807742394 %	1.16648336602e-05 %	0.000741894308533 %
InvTransf	51652192616	27143949714	4974401301	184485363	151640989	254104398	18295	6564	125960	4992140382766	474138475083	-3181255387936	0.704580302833 %	0.357168502742 %	1.26328212432 %	0.000180038225208 %	3.54195999694e-05 %	0.000412611469182 %
Transf	311348068694	133800462146	57875769371	2188376066	3864361413	2358184650	119247	161873	9991942	-928661737559658	-2870846817110908	-1531672620788760	1.67207073803 %	0.702871251195 %	3.24638376587 %	0.0020422595878 %	3.83002215174e-05 %	0.00529737825063 %
Misc	78756326615	26695012301	14605279981	305826216	767528939	368165513	53677	205128	277808	-80623744444012	-455740736693123	-196668831011985	1.20070070375 %	0.388319553672 %	2.74984604042 %	0.000446966610363 %	6.81557943432e-05 %	0.00116932828635 %
Inter/Intra	1987651194261	684747609979	341096515815	555772712	5071702307	853648436	45259	2142613	209847	908693451163574	-795223023362952	-22189278897271	0.215069969144 %	0.0279612798063 %	0.577607318111 %	7.95660435921e-05 %	2.27700917197e-06 %	0.000229319439557 %
Inter	1651857784004	844314851150	117039432587	1809338610	8308338465	6461939266	130439	6850234	3001094	518173160801837	-5571252379330441	-4199062464773213	0.634453535007 %	0.109533558368 %	1.53640317424 %	0.000381973094462 %	7.89650303211e-06 %	0.00102473439466 %
Intra	51796021600	17949923984	9161077310	419568662	470477488	333055078	26144	48048	1613457	-4381986019567	-21625077981111	-14786440282884	1.55005370009 %	0.810040325568 %	2.9638616342 %	0.0021387817435 %	5.04749191007e-05 %	0.00612852687358 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_4_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	151853659236	59079970692	38016997560	1106623260	2967519576	1482507222	82357	147731	367748	-2287074075830473	-8929487412308450	-3986453530659624	2.23202894247 %	0.728743229217 %	4.5830749179 %	0.000240142395314 %	5.4234452047e-05 %	0.000530890932312 %
InvQuant	12442610052	4714679196	688412340	42948828	29260469	57102394	1152	0	5	220123671126	77280838650	-2533933391	0.72460973508 %	0.345175391823 %	1.59839718473 %	6.48335395666e-06 %	9.25850762168e-06 %	9.25396130472e-08 %
Quant	383817794760	144665332452	86038517412	878938956	4052046201	5677669885	44221	107588	587548	25201140636684	-9575616592143	-20326621969888	1.72632732058 %	0.22899901151 %	4.21740516759 %	0.000120314232455 %	1.15213522155e-05 %	0.000301310966596 %
InvTransf	45353144736	23833711944	4367766996	161987148	139415725	228937083	16020	5834	41395	4101077020110	535028391757	-2124402009113	0.721015117059 %	0.357168502742 %	1.30614713074 %	8.59891558668e-05 %	3.53227986576e-05 %	0.000167469940497 %
Transf	273378792024	117483332616	50817748716	1921500936	3511331830	2165764977	104158	58525	4434030	-603781357867089	-2025177145825327	-1060953124729537	1.72038578196 %	0.702871251195 %	3.37317904441 %	0.00104073408758 %	3.81002488265e-05 %	0.00266935599251 %
Misc	69151896540	23439522996	12824148276	268530336	712291162	335985823	47404	161901	240223	-48470827340817	-317136357859134	-135290756978312	1.24915830587 %	0.388319553672 %	2.89070838178 %	0.000426434168435 %	6.85505421714e-05 %	0.00110888938129 %
Inter/Intra	1745254707156	601241803884	299499379740	487995552	4687903791	788910424	39642	1329182	120164	711228614460915	-537300267529389	-4480996341448	0.225427778924 %	0.0279612798063 %	0.608034173919 %	5.62732544366e-05 %	2.27141630602e-06 %	0.000160905932398 %
Inter	1450411712784	741349625400	102766331052	1588687560	7293055971	5882534228	114300	5901470	2086826	499670244918149	-3895703979857380	-2889934953583656	0.643456078432 %	0.109533558368 %	1.56087443891 %	0.00035312696851 %	7.88052102672e-06 %	0.000946350550412 %
Intra	45479433600	15760908864	8043872760	368401752	429997691	304956292	22986	40202	1412491	-1759378124773	-14913306721184	-10126909291243	1.59250665023 %	0.810040325568 %	3.0874216559 %	0.0021298920616 %	5.0541526533e-05 %	0.00610252605105 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	210907860050	82055514850	52801385500	1536976750	3402252585	1815098893	116901	269560	1016747	-6280876844160383	-21692410977639784	-10033567174352206	1.95344610023 %	0.728743229217 %	3.86880572255 %	0.000405827360306 %	5.54275217492e-05 %	0.000953831058449 %
InvQuant	17281402850	6548165550	956128250	59651150	34451316	70207300	1608	5950	5	414309251815	143799995828	-13731148635	0.662921717796 %	0.345175391823 %	1.39464976704 %	3.05135663798e-05 %	9.30480015979e-06 %	7.93545689802e-05 %
Quant	533080270500	200924072850	119497940850	1220748550	4636433802	6556739905	64082	172001	1946099	45923637065892	-27225323848288	-51931948483827	1.45446854529 %	0.22899901151 %	3.49325989739 %	0.000255673832443 %	1.20210789155e-05 %	0.000661034482476 %
InvTransf	62990478800	33102377700	6066343050	224982150	160404540	289852983	22628	7963	127622	6562110960718	181339237709	-5834480642671	0.660968053758 %	0.357168502742 %	1.14953338883 %	0.000154869067785 %	3.59228893494e-05 %	0.000346156314028 %
Transf	379692766700	163171295300	70580206550	2668751300	4089977545	2609552719	150491	174152	11111613	-1770093407131098	-4860611491253644	-2669707778271627	1.52716098989 %	0.702871251195 %	2.86609078914 %	0.00186426976114 %	3.963493993e-05 %	0.00482810373866 %
Misc	96044300750	32554893050	17811317050	372958800	835861503	421469315	69108	251625	337212	-167291635995466	-786316006478857	-346367834510176	1.11350586002 %	0.388319553672 %	2.49637766174 %	0.000449383719912 %	7.19542955286e-05 %	0.00116911119346 %
Inter/Intra	2423964871050	835058060950	415971360750	677771600	5479270289	916882138	61317	2491170	231897	1316585156229808	-1421774137310073	-73034037125460	0.192488027558 %	0.0279612798063 %	0.511271143272 %	7.5765668684e-05 %	2.52961586747e-06 %	0.000217666103831 %
Inter	2014460712200	1029652257500	142731015350	2206510500	8902887064	7319616282	164618	8205979	3543207	426357576474453	-9598587013481365	-7395173679692583	0.578284156126 %	0.109533558368 %	1.3837201299 %	0.000373843340179 %	8.17181486852e-06 %	0.00100216254122 %
Intra	63165880000	21890151200	11172045500	511669100	499467821	363525369	32445	52246	1962211	-12111817918621	-37693608973719	-26093555008679	1.42854594744 %	0.810040325568 %	2.61021128702 %	0.00212713593599 %	5.13647557827e-05 %	0.00609293150809 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	122326558829	47592198613	30624803590	891446515	2709503181	1277401742	68162	125208	203868	-1169338039610342	-4893712220191702	-2147917229012032	2.4325644827 %	0.728743229217 %	5.097235653 %	0.000198080655373 %	5.57213418349e-05 %	0.000420721826114 %
InvQuant	10023213653	3797936019	554554385	34597667	28209927	49343919	924	0	5	144985420670	51336060091	7861130	0.780146228354 %	0.345175391823 %	1.78182692669 %	6.46229218629e-06 %	9.21860026124e-06 %	1.14876761024e-07 %
