../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Quant	213232108200	80369629140	47799176340	488299420	2742142528	3816647377	27684	35275	335109	8382640724834	-999207963080	-3427505170835	2.06416826746 %	0.22899901151 %	5.11730594698 %	0.00011659839914 %	1.2983035357e-05 %	0.000288981393415 %
InvTransf	25196191520	13240951080	2426537220	89992860	108778461	134539080	9278	3018	5330	1529605514218	382213496906	-319037363339	0.815664185086 %	0.357168502742 %	1.55300924016 %	4.31336582453e-05 %	3.68230253871e-05 %	5.32823120091e-05 %
Transf	151877106680	65268518120	28232082620	1067500520	2584555217	1372959093	60594	29059	2529348	-74945323797480	-399370630614950	-198059188903983	2.04786933696 %	0.702871251195 %	4.23260843105 %	0.00106733452991 %	3.98967305373e-05 %	0.00273624659067 %
Misc	38417720300	13021957220	7124526820	149183520	486750788	208052000	25380	105990	144783	-1293152379881	-58730012535745	-24407167426959	1.44112998292 %	0.388319553672 %	3.44875456492 %	0.000471538891567 %	6.60632640402e-05 %	0.00124474821265 %
Inter/Intra	969585948420	334023224380	166388544300	271108640	3287538472	540666127	22850	778079	62912	232339505326167	-77553163612294	13158354886539	0.278865279266 %	0.0279612798063 %	0.765010904739 %	5.87647851389e-05 %	2.35667606747e-06 %	0.000168059796479 %
Inter	805784284880	411860903000	57092406140	882604200	4984734283	3577502067	66797	3545237	1253307	256946846875047	-755525904543839	-527236237483653	0.740924296444 %	0.109533558368 %	1.82581851607 %	0.00038167392433 %	8.28968760665e-06 %	0.00102324557829 %
Intra	25266352000	8756060480	4468818200	204667640	307154814	201427807	12628	31106	789686	1084411023981	-2523164681392	-1705627373774	1.85302015134 %	0.810040325568 %	3.84565055987 %	0.00216522045483 %	4.99795142567e-05 %	0.00620642366452 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	21090786005	8205551485	5280138550	153697675	636489442	260705803	12375	22781	34825	-2061265638925	-32819208010292	-12232496457777	3.03932916352 %	0.728743229217 %	6.65294280583 %	0.000202394830286 %	5.86749113905e-05 %	0.000427163903742 %
